"","mz","rt","n_samples"
"FT0535",534.289172473605,585.772521972656,261
"FT0536",534.873766378722,24.2336883544922,261
"FT0537",535.145745804785,308.556549072266,261
"FT0538",535.302973111726,636.272125244141,261
"FT0539",536.203203592095,316.230010986328,261
"FT0540",537.203767064066,369.418426513672,261
"FT0541",537.327298065856,721.358917236328,261
"FT0542",538.330513760127,724.64892578125,261
"FT0543",539.249070119404,410.048950195312,261
"FT0544",540.330013494559,682.083129882812,261
"FT0545",545.261601275692,427.8193359375,261
"FT0546",545.160573185082,691.82861328125,261
"FT0547",547.256552839719,356.388977050781,261
"FT0548",547.275930532641,455.314361572266,261
"FT0549",548.259242194934,377.061874389648,261
"FT0550",548.278828750688,455.349853515625,261
"FT0551",548.852197284874,23.9408130645752,261
"FT0552",549.252193185862,276.014190673828,261
"FT0553",549.236739798609,555.933746337891,261
"FT0554",549.281673678522,667.050994873047,261
"FT0555",549.340502778873,409.473985839844,261
"FT0556",550.286004644474,653.038116455078,261
"FT0557",551.17625344176,290.660766601562,261
"FT0558",551.280254038853,652.709503173828,261
"FT0559",552.284759404691,604.906372070312,261
"FT0560",555.283939074787,720.593566894531,261
"FT0561",555.441272601997,832.043029785156,261
"FT0562",556.287321040218,719.628936767578,261
"FT0563",556.444269985612,832.041198730469,261
"FT0564",557.284760826502,717.730041503906,261
"FT0565",557.44745416709,832.051300048828,261
"FT0566",559.166159866703,149.666969299316,261
"FT0567",559.312211814146,654.259735107422,261
"FT0568",559.471978683816,882.338195800781,261
"FT0569",560.31541565592,653.960357666016,261
"FT0570",560.170043851878,149.895553588867,261
"FT0571",561.326242085119,683.154357910156,261
"FT0572",561.289507360238,338.297409057617,261
"FT0573",562.318903581877,652.257751464844,261
"FT0574",563.317413126339,606.328094482422,261
"FT0575",563.334765783761,710.845581054688,261
"FT0576",564.329696757258,643.934387207031,261
"FT0577",565.333832099738,644.244171142578,261
"FT0578",565.192043143778,273.232666015625,261
"FT0579",566.337566188756,658.003112792969,261
"FT0580",567.129057760951,534.999267578125,261
"FT0581",567.206960149828,291.612182617188,261
"FT0582",568.132035283291,533.979370117188,261
"FT0583",569.351417006867,356.638610839844,261
"FT0584",570.279110747732,357.032913208008,261
"FT0585",570.892053086995,1086.76123046875,261
"FT0586",575.306532368901,516.864807128906,261
"FT0587",576.309028170623,516.547485351562,261
"FT0588",577.243645751837,536.029113769531,261
"FT0589",577.24897990297,292.232025146484,261
"FT0590",577.268437889221,642.485168457031,261
"FT0591",577.287218526854,546.672058105469,261
"FT0592",577.423077038107,832.043762207031,261
"FT0593",578.252136556987,280.131195068359,261
"FT0594",578.271854106502,636.737670898438,261
"FT0595",578.42634108652,832.043518066406,261
"FT0596",579.209464557879,302.516510009766,261
"FT0597",579.283168151545,681.650985839844,261
"FT0598",579.208930758141,375.674987792969,261
"FT0599",580.287390602208,683.482391357422,261
"FT0600",580.2112318803,302.876342773438,261
"FT0601",581.223545244896,286.954956054688,261
"FT0602",581.454963096906,882.070159912109,261
"FT0603",582.227017244471,286.950103759766,261
"FT0604",585.342332957501,1086.76916503906,261
"FT0605",586.346223114423,1086.62145996094,261
"FT0606",588.897542890509,1084.75415039062,261
"FT0607",589.900437435252,1085.08898925781,261
"FT0608",590.895553706625,1085.42504882812,261
"FT0609",591.099574235286,230.891090393066,261
"FT0610",591.174160066826,327.813140869141,261
"FT0611",592.103320910015,231.232238769531,261
"FT0612",592.874842931176,1086.43267822266,261
"FT0613",593.174887390121,230.890869140625,261
"FT0614",593.27350586981,605.596313476562,261
"FT0615",594.154001407924,230.661026000977,261
"FT0616",594.27686707903,604.914367675781,261
"FT0617",595.289374020795,649.90869140625,261
"FT0618",595.202198875992,278.551635742188,261
"FT0619",597.218118042135,290.664520263672,261
"FT0620",599.268967141606,584.736083984375,261
"FT0621",600.27203442255,584.30029296875,261
"FT0622",605.316230084333,653.209930419922,261
"FT0623",606.87169410415,1087.44055175781,261
"FT0624",607.223240776016,160.772933959961,261
"FT0625",607.296979883487,338.714691162109,261
"FT0626",608.300394880855,338.268829345703,261
