Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
191.055392947316,C06006,M+HCOO[-],198.304733276367,0.000152052684001092,EC00028
205.071948916951,C06006,M+CH3COO[-],153.622566223145,0.000753916950998246,EC00029
191.055392947316,C06010,M+CH3COO[-],198.304733276367,0.000202052684016962,EC00056
365.180053782909,C06095,M(Cl37)-H[-],214.091705322266,0.00153024967897863,EC00073
277.216777234667,C06426,M-H[-],691.366001220703,0.000546298562994707,EC00074
293.211577377412,C06426,M-H+O[-],645.10888671875,0.000656155817978288,EC00075
323.221634792396,C06426,M+HCOO[-],679.78125,0.000610207604040625,EC00074
277.216777234667,C06427,M-H[-],691.366001220703,0.000546298562994707,EC00074
293.211577377412,C06427,M-H+O[-],645.10888671875,0.000656155817978288,EC00075
323.221634792396,C06427,M+HCOO[-],679.78125,0.000610207604040625,EC00074
253.21700280371,C08362,M-H[-],892.1240234375,0.000320729520012719,EC00076
209.118013990827,C08491,M-H[-],346.573669433594,0.000309542402987972,EC00077
115.07658281118,C08492,M-H+O[-],153.602005004883,0.000149277949986981,EC00078
249.185307883837,C09629,M+HCOO[-],581.038024902344,0.000137116163017481,EC00079
249.185384832084,C09629,M+HCOO[-],741.910614013672,6.01679160183721e-05,EC00080
249.185307883837,C09684,M+HCOO[-],581.038024902344,0.000137116163017481,EC00079
249.185384832084,C09684,M+HCOO[-],741.910614013672,6.01679160183721e-05,EC00080
213.149448686005,C09844,M+CH3COO[-],446.292877197266,0.000353686005013287,EC00024
223.061183661483,C10945,M+CH3COO[-],282.727645874023,0.000588661482993302,EC00010
213.149448686005,C11389,M+CH3COO[-],446.292877197266,0.000353686005013287,EC00024
213.149448686005,C11393,M+CH3COO[-],446.292877197266,0.000353686005013287,EC00024
259.021794825745,C11437,M+HCOO[-],29.2681179046631,5.01742549658957e-05,EC00022
223.133758447498,C11512,M-H[-],507.010498046875,0.000165085731993031,EC00081
239.128291828328,C11512,M-H+O[-],440.250366210938,0.000541704901991125,EC00082
519.896088257262,C11555,M+Na-2H[-],23.9538841247559,5.88091979807359e-05,EC00037
657.220686383662,C11830,M+HCOO[-],389.740737915039,0.000741383661988948,EC00051
657.220686383662,C11832,M+HCOO[-],389.740737915039,0.000741383661988948,EC00051
333.151954541279,C11864,M(Cl37)-H[-],251.378555297852,0.000368991951006592,EC00044
333.151954541279,C11864,M(S34)-H[-],251.378555297852,0.00103100804903988,EC00044
333.151954541279,C11865,M(Cl37)-H[-],251.378555297852,0.000368991951006592,EC00044
333.151954541279,C11865,M(S34)-H[-],251.378555297852,0.00103100804903988,EC00044
193.050421267445,C12204,M-H[-],280.9677734375,0.000202265784992051,EC00039
206.081789787153,C12206,M+ACN-H[-],249.827117919922,0.000478746076964853,EC00083
353.087270509914,C12208,M-H+O[-],189.901420593262,0.000563023315976352,EC00084
191.055392947316,C14463,M+HCOO[-],198.304733276367,0.000152052684001092,EC00028
205.071948916951,C14463,M+CH3COO[-],153.622566223145,0.000753916950998246,EC00029
293.211577377412,C14827,M-H2O-H[-],645.10888671875,0.000646155817946692,EC00059
327.217203022431,C14827,M-H+O[-],446.650512695312,0.000530510798967043,EC00060
305.114477094345,C15485,M(S34)-H[-],376.857727050781,0.00114643888497312,EC00085
259.021794825745,C15926,M-H[-],29.2681179046631,0.000628707484963797,EC0002
647.327584540926,C15965,M+Br81[-],530.2734375,0.00111545907407162,EC00086
647.327584540926,C15966,M+Br81[-],530.2734375,0.00111545907407162,EC00086
291.196252348901,C16321,M-H2O-H[-],661.908050537109,0.000271184328994423,EC00064
309.206243587439,C16321,M-H[-],570.629272460938,0.000879945790984493,EC00065
310.209995406926,C16321,M(C13)-H[-],588.156555175781,0.000528126304004672,EC00065
369.22745830553,C16321,M+CH3COO[-],681.299926757812,0.000236694470061138,EC00064
291.196252348901,C16324,M-H[-],661.908050537109,0.000271184328994423,EC00034
292.199777937466,C16324,M(C13)-H[-],623.178100585938,0.000145595763967776,EC00035
307.190654238397,C16324,M-H+O[-],620.911986816406,0.000779294833023414,EC00035
312.171541454446,C16324,M+Na-2H[-],698.305908203125,0.000294387986059519,EC00036
291.196252348901,C16341,M-H2O-H[-],661.908050537109,0.000271184328994423,EC00064
309.206243587439,C16341,M-H[-],570.629272460938,0.000879945790984493,EC00065
310.209995406926,C16341,M(C13)-H[-],588.156555175781,0.000528126304004672,EC00065
369.22745830553,C16341,M+CH3COO[-],681.299926757812,0.000236694470061138,EC00064
249.185307883837,C16814,M+HCOO[-],581.038024902344,0.000137116163017481,EC00079
249.185384832084,C16814,M+HCOO[-],741.910614013672,6.01679160183721e-05,EC00080
259.021794825745,C17214,M+Cl37[-],29.2681179046631,0.00030517425494736,EC00087
259.021794825745,C17215,M+Cl37[-],29.2681179046631,0.00030517425494736,EC00087
191.055392947316,C17220,M(Cl37)-H[-],198.304733276367,0.000930585913977211,EC00088
191.055392947316,C17220,M(S34)-H[-],198.304733276367,0.000469414086012421,EC00088
205.071948916951,C17224,M(Cl37)-H[-],153.622566223145,2.53837210095753e-05,EC00089
671.272219271266,C18022,M+HCOO[-],257.765991210938,0.000474271265943571,EC00090
671.272219271266,C18070,M+ACN-H[-],257.765991210938,4.92619640226621e-05,EC00091
